COLUMN_NAME,DATA_TYPE,0,1,2,3,4,5,6,7,8
BIOMOMPD,Categorical,BIOMOMPD_NO,BIOMOMPD_YES,,,,,,,
BIODADPD,Categorical,BIODADPD_NO,BIODADPD_YES,,,,,,,
FULSIBPD,Categorical,FULSIBPD_0,FULSIBPD_1,FULSIBPD_2,FULSIBPD_3,FULSIBPD_4,FULSIBPD_5,,,
HAFSIBPD,Categorical,HAFSIBPD_0,HAFSIBPD_1,HAFSIBPD_2,HAFSIBPD_3,HAFSIBPD_4,HAFSIBPD_5,,,
MAGPARPD,Categorical,MAGPARPD_0,MAGPARPD_1,MAGPARPD_2,MAGPARPD_3,MAGPARPD_4,MAGPARPD_5,,,
PAGPARPD,Categorical,PAGPARPD_0,PAGPARPD_1,PAGPARPD_2,PAGPARPD_3,PAGPARPD_4,PAGPARPD_5,,,
MATAUPD,Categorical,MATAUPD_0,MATAUPD_1,MATAUPD_2,MATAUPD_3,MATAUPD_4,MATAUPD_5,,,
PATAUPD,Categorical,PATAUPD_0,PATAUPD_1,PATAUPD_2,PATAUPD_3,PATAUPD_4,PATAUPD_5,,,
KIDSPD,Categorical,KIDSPD_0,KIDSPD_1,KIDSPD_2,KIDSPD_3,KIDSPD_4,KIDSPD_5,,,
EDUCYRS,Numeric,,,,,,,,,
GENDER,Categorical,FEMALE,MALE,,,,,,,
UPSITBK1,Numeric,,,,,,,,,
UPSITBK2,Numeric,,,,,,,,,
UPSITBK3,Numeric,,,,,,,,,
UPSITBK4,Numeric,,,,,,,,,
NP3BRADY,Ordinal,,,,,,,,,
NP3FACXP,Ordinal,,,,,,,,,
NP3FRZGT,Ordinal,,,,,,,,,
NP3FTAPL,Ordinal,,,,,,,,,
NP3FTAPR,Ordinal,,,,,,,,,
NP3GAIT,Ordinal,,,,,,,,,
NP3HMOVL,Ordinal,,,,,,,,,
NP3HMOVR,Ordinal,,,,,,,,,
NP3KTRML,Ordinal,,,,,,,,,
NP3KTRMR,Ordinal,,,,,,,,,
NP3LGAGL,Ordinal,,,,,,,,,
NP3LGAGR,Ordinal,,,,,,,,,
NP3POSTR,Ordinal,,,,,,,,,
NP3PRSPL,Ordinal,,,,,,,,,
NP3PRSPR,Ordinal,,,,,,,,,
NP3PSTBL,Ordinal,,,,,,,,,
NP3PTRML,Ordinal,,,,,,,,,
NP3PTRMR,Ordinal,,,,,,,,,
NP3RIGLL,Ordinal,,,,,,,,,
NP3RIGLU,Ordinal,,,,,,,,,
PN3RIGRL,Ordinal,,,,,,,,,
NP3RIGN,Ordinal,,,,,,,,,
NP3RIGRU,Ordinal,,,,,,,,,
NP3RISNG,Ordinal,,,,,,,,,
NP3RTALJ,Ordinal,,,,,,,,,
NP3RTALL,Ordinal,,,,,,,,,
NP3RTALU,Ordinal,,,,,,,,,
NP3RTARL,Ordinal,,,,,,,,,
NP3RTARU,Ordinal,,,,,,,,,
NP3RTCON,Ordinal,,,,,,,,,
NP3SPCH,Ordinal,,,,,,,,,
NP3TTAPL,Ordinal,,,,,,,,,
NP3TTAPR,Ordinal,,,,,,,,,
PD_MED_USE,Categorical,USE_SPECIAL_FUNCTION,,,,,,,,
NP1HALL,Ordinal,,,,,,,,,
NP1COG,Ordinal,,,,,,,,,
DVT_DELAYED_RECALL,Numeric,,,,,,,,,
JLO_TOTRAW,Numeric,,,,,,,,,
LNS_TOTRAW,Numeric,,,,,,,,,
VLTANIM,Numeric,,,,,,,,,
VLTVEG,Numeric,,,,,,,,,
VLTFRUIT,Numeric,,,,,,,,,
GDSSATIS,Categorical,GDSSATIS_NO,GDSSATIS_YES,,,,,,,
GDSDROPD,Categorical,GDSDROPD_NO,GDSDROPD_YES,,,,,,,
GDSEMPTY,Categorical,GDSEMPTY_NO,GDSEMPTY_YES,,,,,,,
GDSBORED,Categorical,GDSBORED_NO,GDSBORED_YES,,,,,,,
GDSGSPIR,Categorical,GDSGSPIR_NO,GDSGSPIR_YES,,,,,,,
GDSAFRAD,Categorical,GDSAFRAD_NO,GDSAFRAD_YES,,,,,,,
GDSHAPPY,Categorical,GDSHAPPY_NO,GDSHAPPY_YES,,,,,,,
GDSHLPLS,Categorical,GDSHLPLS_NO,GDSHLPLS_YES,,,,,,,
GDSHOME,Categorical,GDSHOME_NO,GDSHOME_YES,,,,,,,
GDSMEMRY,Categorical,GDSMEMRY_NO,GDSMEMRY_YES,,,,,,,
GDSALIVE,Categorical,GDSALIVE_NO,GDSALIVE_YES,,,,,,,
GDSWRTLS,Categorical,GDSWRTLS_NO,GDSWRTLS_YES,,,,,,,
GDSENRGY,Categorical,GDSENRGY_NO,GDSENRGY_YES,,,,,,,
GDSHOPLS,Categorical,GDSHOPLS_NO,GDSHOPLS_YES,,,,,,,
GDSBETER,Categorical,GDSBETER_NO,GDSBETER_YES,,,,,,,
ESS1,Ordinal,,,,,,,,,
ESS2,Ordinal,,,,,,,,,
ESS3,Ordinal,,,,,,,,,
ESS4,Ordinal,,,,,,,,,
ESS5,Ordinal,,,,,,,,,
ESS6,Ordinal,,,,,,,,,
ESS7,Ordinal,,,,,,,,,
ESS8,Ordinal,,,,,,,,,
SCAU1,Ordinal,,,,,,,,,
SCAU2,Ordinal,,,,,,,,,
SCAU3,Ordinal,,,,,,,,,
SCAU4,Ordinal,,,,,,,,,
SCAU5,Ordinal,,,,,,,,,
SCAU6,Ordinal,,,,,,,,,
SCAU7,Ordinal,,,,,,,,,
SCAU8,Ordinal,,,,,,,,,
SCAU9,Ordinal,,,,,,,,,
SCAU10,Ordinal,,,,,,,,,
SCAU11,Ordinal,,,,,,,,,
SCAU12,Ordinal,,,,,,,,,
SCAU13,Ordinal,,,,,,,,,
SCAU14,Ordinal,,,,,,,,,
SCAU15,Ordinal,,,,,,,,,
SCAU16,Ordinal,,,,,,,,,
SCAU17,Ordinal,,,,,,,,,
SCAU18,Ordinal,,,,,,,,,
SCAU19,Ordinal,,,,,,,,,
SCAU20,Ordinal,,,,,,,,,
SCAU21,Ordinal,,,,,,,,,
SCAU22,Ordinal,,,,,,,,,
SCAU23,Ordinal,,,,,,,,,
SCAU24,Ordinal,,,,,,,,,
SCAU25,Ordinal,,,,,,,,,
DRMVIVID,Categorical,DRMVIVID_NO,DRMVIVID_YES,,,,,,,
DRMAGRAC,Categorical,DRMAGRAC_NO,DRMAGRAC_YES,,,,,,,
DRMNOCTB,Categorical,DRMNOCTB_NO,DRMNOCTB_YES,,,,,,,
SLPLMBMV,Categorical,SLPLMBMV_NO,SLPLMBMV_YES,,,,,,,
SLPINJUR,Categorical,SLPINJUR_NO,SLPINJUR_YES,,,,,,,
DRMVERBL,Categorical,DRMVERBL_NO,DRMVERBL_YES,,,,,,,
DRMFIGHT,Categorical,DRMFIGHT_NO,DRMFIGHT_YES,,,,,,,
DRMUMV,Categorical,DRMUMV_NO,DRMUMV_YES,,,,,,,
DRMOBJFL,Categorical,DRMOBJFL_NO,DRMOBJFL_YES,,,,,,,
MVAWAKEN,Categorical,MVAWAKEN_NO,MVAWAKEN_YES,,,,,,,
DRMREMEM,Categorical,DRMREMEM_NO,DRMREMEM_YES,,,,,,,
SLPDSTRB,Categorical,SLPDSTRB_NO,SLPDSTRB_YES,,,,,,,
STROKE,Categorical,STROKE_NO,STROKE_YES,,,,,,,
HETRA,Categorical,HETRA_NO,HETRA_YES,,,,,,,
PARKISM,Categorical,PARKISM_NO,PARKISM_YES,,,,,,,
