COLUMN_NAME,DATA_TYPE,0,1,2,3,4,5,6,7,8
PATNO,Categorical,NO_USE,,,,,,,,
EDUCYRS,Numeric,,,,,,,,,
GENDER,Categorical,FEMALE,MALE,,,,,,,
EVENT_ID,Categorical,NO_USE,,,,,,,,
PD_MED_USE,Categorical,USE_SPECIAL_FUNCTION,,,,,,,,
NP1COG,Ordinal,,,,,,,,,
MCATOT,Numeric,,,,,,,,,
DVT_DELAYED_RECALL,Numeric,,,,,,,,,
JLO_TOTRAW,Numeric,,,,,,,,,
LNSTOT,Numeric,,,,,,,,,
AGE_BL,Numeric,,,,,,,,,
VLTTOT,Numeric,,,,,,,,,
SIDTTOT,Numeric,,,,,,,,,
SCOPTOT,Numeric,,,,,,,,,
MSU3TOT,Numeric,,,,,,,,,
TD_PIGD_RATIO,Categorical,TD/PIGD_INDETERMINATE,TD,PIGD,,,,,,
FAMHIST,Categorical,FAMHIST_NO,FAMHIST_YES,,,,,,,
SLEEPY,Categorical,SLEEPY_NO,SLEEPY_YES,,,,,,,
DEPR,Categorical,DEPR_NO,DEPR_YES,,,,,,,
RBD,Categorical,RBD_NO,RBD_YES,,,,,,,
HALL,Categorical,,,,,,,,,
NHY,Ordinal,,,,,,,,,
PD_DURATION_BL,Numeric,,,,,,,,,
DVT_SDM,Numeric,,,,,,,,,
SDMTOTAL,Numeric,,,,,,,,,
HVLT_TOTAL,Numeric,,,,,,,,,
HVLT_DISCRIM,Numeric,,,,,,,,,
HVLT_RETENTION,Numeric,,,,,,,,,
HVLTRDLY,Numeric,,,,,,,,,
PIGD,Numeric,,,,,,,,,
TREMOR,Numeric,,,,,,,,,
FAMTOT,Numeric,,,,,,,,,
EPSSTOT,Numeric,,,,,,,,,
GDSSTOT,Numeric,,,,,,,,,
REMTOT,Numeric,,,,,,,,,
LAST_EVENT_ID,Categorical,NO_USE,,,,,,,,
AGE,Numeric,,,,,,,,,
PD_DURATION,Numeric,,,,,,,,,
